timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
276227828,276227169,71315384,38.97361176678716,-76.9219165064937,-2.132157,1.4919837,0.541244,0.036267716,-0.014497595,-0.0046971543,0.008904117,0.007067551,0.0018362282,-0.0008755905,0.00042390026,-0.0013321475,0.0012392444,0.23177052,0.8558112,0.2982783,0.53028667,-0.2478839,12.486519,0.1,0.098810285,0.055762853,0.07301967,0.026276914,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
276341415,276339506,71315384,38.97361176678716,-76.9219165064937,-2.1325107,1.4901872,0.5421813,0.036267716,-0.014497595,-0.0046971543,0.004237904,0.00055873516,0.0024259205,0.00029046257,0.00042390026,-0.0013321475,0.0012392444,-0.39753348,-0.30209395,-0.09694969,0.5301485,-0.2478839,12.486519,0.1,0.10052297,0.055540584,0.07462126,0.027968327,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
276432885,276432096,71315384,38.97361176678716,-76.9219165064937,-2.1341717,1.4874501,0.5432057,0.036267716,-0.014497595,-0.0046971543,0.009797113,0.008175517,0.00817291,0.006548303,0.00042390026,-0.0013321475,0.0012392444,0.26266414,0.36804506,0.11567866,0.5300306,-0.2478839,12.486519,0.1,0.09885886,0.054480895,0.073588304,0.027122295,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
276540102,276539519,71315384,38.97361176678716,-76.9219165064937,-2.1351748,1.485277,0.5443141,0.036267716,-0.014497595,-0.0046971543,0.0092456,0.0023568512,0.01069232,0.009274533,0.00042390026,-0.0013321475,0.0012392444,0.80207014,1.9004074,1.5010458,0.5298762,-0.2478839,12.486519,0.1,0.09992738,0.050390236,0.074682504,0.028265808,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
276646291,276644434,71315384,38.97361176678716,-76.9219165064937,-2.137471,1.4821794,0.5456858,0.036267716,-0.014497595,-0.0046971543,0.004067347,-0.0015549174,0.008256377,0.0070762457,0.00042390026,-0.0013321475,0.0012392444,0.21532312,-0.022822533,-0.54809505,0.52970237,-0.2478839,12.486519,0.1,0.09978007,0.038328864,0.07465637,0.02777793,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
276741643,276740767,71315384,38.97361176678716,-76.9219165064937,-2.1387296,1.4800739,0.54658103,0.036267716,-0.014497595,-0.0046971543,0.004034079,-0.0010777194,0.0065027964,0.0052696727,0.00042390026,-0.0013321475,0.0012392444,-0.11609853,0.22837387,-0.3177067,0.5295336,-0.2478839,12.486519,0.1,0.10026859,0.033236362,0.07512384,0.028183773,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
276820412,276819778,71315384,38.97361176678716,-76.9219165064937,-2.1396594,1.4782331,0.5472461,0.036267716,-0.014497595,-0.0046971543,0.004336524,-0.003560736,0.0074416846,0.0061300793,0.00042390026,-0.0013321475,0.0012392444,-0.12277312,0.27946436,-0.02345926,0.5294018,-0.2478839,12.486519,0.1,0.10068497,0.030807175,0.07497973,0.02816121,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
276879835,276879044,71315384,38.97361176678716,-76.9219165064937,-2.1406672,1.4766443,0.54765195,0.036267716,-0.014497595,-0.0046971543,0.0010070952,-0.003893863,0.008392155,0.006999703,0.00042390026,-0.0013321475,0.0012392444,-0.14240736,-0.578423,-1.0063351,0.5293166,-0.2478839,12.486519,0.1,0.10106438,0.028908862,0.07543812,0.028160175,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
277014291,277013616,71315384,38.97361176678716,-76.9219165064937,-2.14199,1.4737407,0.5486782,0.036267716,-0.014497595,-0.0046971543,0.006283195,-0.00767384,0.008229524,0.0067124628,0.00042390026,-0.0013321475,0.0012392444,0.19794387,0.122763924,0.31828946,0.52895516,-0.2478839,12.486519,0.1,0.1005281,0.02665922,0.07480173,0.027719881,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
277116685,277112400,71315384,38.97361176678716,-76.9219165064937,-2.1441236,1.4708444,0.549112,0.036267716,-0.014497595,-0.0046971543,0.0014744847,-0.008380259,0.004928236,0.0033558395,0.00042390026,-0.0013321475,0.0012392444,0.015099468,-0.2953971,-1.273903,0.5289231,-0.2478839,12.486519,0.1,0.10027661,0.024933804,0.0751884,0.027326254,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
277209355,277208697,71315384,38.97361176678716,-76.9219165064937,-2.1466467,1.4673975,0.5492694,0.036267716,-0.014497595,-0.0046971543,0.0065180543,-0.013625709,0.005920539,0.004190245,0.00042390026,-0.0013321475,0.0012392444,-0.05079143,0.5988509,0.7209331,0.5287623,-0.2478839,12.486519,0.1,0.0992159,0.023568686,0.07467665,0.027032502,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
277288496,277287709,71315384,38.97361176678716,-76.9219165064937,-2.1480596,1.465194,0.54934454,0.036267716,-0.014497595,-0.0046971543,0.0062927306,-0.01308221,0.0054755704,0.0035478193,0.00042390026,-0.0013321475,0.0012392444,0.7067215,0.5278272,0.6724006,0.52865183,-0.2478839,12.486519,0.1,0.098315395,0.022387525,0.07388501,0.026329873,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
277372407,277371662,71315384,38.97361176678716,-76.9219165064937,-2.1496658,1.4628545,0.54939777,0.036267716,-0.014497595,-0.0046971543,0.0029345972,-0.0060105682,0.0025266903,0.00046240992,0.00042390026,-0.0013321475,0.0012392444,-0.3730672,0.19135676,-0.7061833,0.5284789,-0.2478839,12.486519,0.1,0.09827384,0.021941502,0.074165896,0.026670009,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
277482138,277481559,71315384,38.97361176678716,-76.9219165064937,-2.1515858,1.4601486,0.54948777,0.036267716,-0.014497595,-0.0046971543,0.005568661,-0.01234767,0.004417131,0.0022837122,0.00042390026,-0.0013321475,0.0012392444,0.55236864,-0.6112205,0.4630539,0.5284982,-0.2478839,12.486519,0.1,0.09787225,0.021167288,0.074076205,0.026357688,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
