timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],terr_flow[0],terr_flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
288264401,288164913,0.0926011,0.09260144,0.20320183,0.49999815,0.49999818,1.1694771,0.09263016,0.092630506,0.010735092,0.2662033,0.26620334,0.2534575,0.0,12.250422,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035343,0.0,0.0,0.0,1.0014231,1.001433,1.009361,0.0,0.0,0.0,0.0,0.0,0.0
288279509,288179729,0.0926011,0.09260144,0.20320183,0.49999815,0.49999818,1.1694771,0.09260658,0.09260692,0.010720616,0.2660071,0.26600713,0.25360623,0.0,12.250422,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090353474,0.0,0.0,0.0,1.0014268,1.0014368,1.009361,0.0,0.0,0.0,0.0,0.0,0.0
288292811,288184681,0.0926011,0.09260144,0.20320183,0.49999815,0.49999818,1.1694771,0.09260658,0.09260692,0.010720616,0.2660071,0.26600713,0.25360623,0.0,12.250422,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090353474,0.0,0.0,0.0,1.0014204,1.0014304,1.0093609,0.0,0.0,0.0,0.0,0.0,0.0
288303901,288199498,0.0926011,0.09260144,0.20320183,0.49999815,0.49999818,1.1694771,0.09260658,0.09260692,0.010720616,0.2660071,0.26600713,0.25360623,0.0,12.250422,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090353474,0.0,0.0,0.0,1.0014241,1.001434,1.0093609,0.0,0.0,0.0,0.0,0.0,0.0
288317474,288208137,0.0926011,0.09260144,0.20320183,0.49999815,0.49999818,1.1694771,0.09260658,0.09260692,0.010720616,0.2660071,0.26600713,0.25360623,0.0,12.250422,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090353474,0.0,0.0,0.0,1.0014278,1.0014378,1.009361,0.0,0.0,0.0,0.0,0.0,0.0
288332435,288213066,0.0926011,0.09260144,0.20320183,0.49999815,0.49999818,1.1694771,0.09260658,0.09260692,0.010720616,0.2660071,0.26600713,0.25360623,0.0,12.250422,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090353474,0.0,0.0,0.0,1.0014315,1.0014415,1.009361,0.0,0.0,0.0,0.0,0.0,0.0
288345997,288218006,0.0926011,0.09260144,0.20320183,0.49999815,0.49999818,1.1694771,0.092663355,0.09266373,0.010762217,0.26648408,0.2664841,0.25376636,0.0,12.250422,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090353474,0.0,0.0,0.0,1.001435,1.0014452,1.0093611,0.0,0.0,0.0,0.0,0.0,0.0
288360810,288229119,0.0926011,0.09260144,0.20320183,0.49999815,0.49999818,1.1694771,0.092663355,0.09266373,0.010762217,0.26648408,0.2664841,0.25376636,0.0,12.250422,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090353474,0.0,0.0,0.0,1.0014285,1.0014385,1.009361,0.0,0.0,0.0,0.0,0.0,0.0
288375866,288238998,0.09263985,0.092640206,0.20324358,0.49861497,0.498615,1.1670855,0.092663355,0.09266373,0.010762217,0.26648408,0.2664841,0.25376636,0.0,12.250422,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090353474,0.0,0.0,0.0,1.0014223,1.0014323,1.0093609,0.0,0.0,0.0,0.0,0.0,0.0
288380821,288250105,0.09263985,0.092640206,0.20324358,0.49861497,0.498615,1.1670855,0.09259175,0.09259208,0.010758706,0.26640317,0.2664032,0.2539106,0.0,12.250465,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090353474,0.0,0.0,0.0,1.0014259,1.0014359,1.0093609,0.0,0.0,0.0,0.0,0.0,0.0
288389108,288259985,0.09263985,0.092640206,0.20324358,0.49861497,0.498615,1.1670855,0.09259175,0.09259208,0.010758706,0.26640317,0.2664032,0.2539106,0.0,12.250465,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035392,0.0,0.0,0.0,1.0014198,1.0014298,1.0093609,0.0,0.0,0.0,0.0,0.0,0.0
288400171,288277281,0.09263985,0.092640206,0.20324358,0.49861497,0.498615,1.1670855,0.09259175,0.09259208,0.010758706,0.26640317,0.2664032,0.2539106,0.0,12.250465,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035392,0.0,0.0,0.0,1.0014234,1.0014335,1.0093608,0.0,0.0,0.0,0.0,0.0,0.0
