timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
346602219,0.020268757,-0.008597214,1.57079,0.0,0.70703536,0.010205321,0.0041264584,0.7070925,0.0,0.0,-0.41884574,0,0
346640412,0.009298291,-0.005795493,1.57079,0.0,0.7070889,0.005336411,0.0012384084,0.70710343,0.0,0.0,-0.42319834,0,0
346687351,0.014833388,-0.004344218,1.57079,0.0,0.7070765,0.0067802146,0.0037084422,0.70709485,0.0,0.0,-0.41710192,0,0
346748149,0.011551901,-0.0058857966,1.57079,0.0,0.70708215,0.006165085,0.002003248,0.70710176,0.0,0.0,-0.41891992,0,0
346793632,0.020701677,-0.0006091465,1.57079,0.0,0.70706886,0.0075343926,0.0071036387,0.7070688,0.0,0.0,-0.4149385,0,0
346828137,0.02144492,-0.009732269,1.57079,0.0,0.7070231,0.0110223675,0.00414099,0.70709246,0.0,0.0,-0.4127077,0,0
346842960,0.018519346,-9.3926865e-05,1.57079,0.0,0.7070784,0.00658071,0.0065142554,0.7070745,0.0,0.0,-0.41652825,0,0
346899833,0.026398845,-0.0024006425,1.57079,0.0,0.7070357,0.010181832,0.008484411,0.7070537,0.0,0.0,-0.41821104,0,0
346940736,0.023049857,0.009013721,1.57079,0.0,0.70709157,0.004962518,0.011335685,0.7070137,0.0,0.0,-0.41570458,0,0
347006003,0.028330825,0.0071314746,1.57079,0.0,0.7070693,0.007495,0.012537134,0.70699334,0.0,0.0,-0.41582185,0,0
347051604,0.03177335,0.0015456154,1.57079,0.0,0.7070282,0.010686748,0.0117794555,0.7070065,0.0,0.0,-0.4133095,0,0
347086659,0.032192603,0.00092032633,1.57079,0.0,0.70702255,0.011056007,0.01170662,0.7070077,0.0,0.0,-0.41812783,0,0
347139439,0.03157593,0.015211076,1.57079,0.0,0.7070853,0.005785837,0.016540175,0.70691115,0.0,0.0,-0.4166915,0,0
347202251,0.03275477,0.0026499224,1.57079,0.0,0.70702887,0.01064331,0.012516762,0.7069938,0.0,0.0,-0.41388103,0,0
347237345,0.038514674,0.005831382,1.57079,0.0,0.7070146,0.011554823,0.015677376,0.7069308,0.0,0.0,-0.41322926,0,0
347301338,0.031389717,0.016617566,1.57079,0.0,0.7070897,0.0052227485,0.016971488,0.70690084,0.0,0.0,-0.4219637,0,0
347340989,0.03637237,0.020129021,1.57079,0.0,0.70708567,0.005742891,0.019973585,0.7068224,0.0,0.0,-0.42161447,0,0
347415890,0.034630112,0.014685522,1.57079,0.0,0.7070738,0.007051416,0.01743392,0.7068896,0.0,0.0,-0.4179482,0,0
347449251,0.03923397,0.021033028,1.57079,0.0,0.7070797,0.006434984,0.021304358,0.7067835,0.0,0.0,-0.4166844,0,0
347478986,0.036098763,0.025730481,1.57079,0.0,0.7070995,0.0036657928,0.021856444,0.7067666,0.0,0.0,-0.4186389,0,0
347564238,0.044371538,0.01640367,1.57079,0.0,0.70703983,0.009887882,0.021483945,0.7067782,0.0,0.0,-0.41596228,0,0
347630855,0.040613968,0.010064077,1.57079,0.0,0.7070265,0.010800656,0.017915446,0.70687765,0.0,0.0,-0.40890476,0,0
347699799,0.041525085,0.020272236,1.57079,0.0,0.7070691,0.0075139445,0.02184515,0.706767,0.0,0.0,-0.41333634,0,0
347734477,0.03702255,0.008419974,1.57079,0.0,0.7070367,0.010112244,0.016064947,0.70692205,0.0,0.0,-0.41296816,0,0
347786408,0.030653039,0.0101370895,1.57079,0.0,0.7070718,0.0072534005,0.014420466,0.70695746,0.0,0.0,-0.4179985,0,0
347819556,0.03116889,0.017945627,1.57079,0.0,0.70709354,0.004675149,0.017362842,0.7068913,0.0,0.0,-0.41188794,0,0
347854316,0.037857495,0.0074716723,1.57079,0.0,0.7070274,0.010742649,0.016024876,0.706923,0.0,0.0,-0.4168637,0,0
347903610,0.038210724,0.012379525,1.57079,0.0,0.70705,0.00913251,0.017884418,0.7068783,0.0,0.0,-0.4166956,0,0
347971416,0.032632697,0.010162179,1.57079,0.0,0.7070644,0.007944408,0.015129094,0.7069426,0.0,0.0,-0.40903166,0,0
348011009,0.036871515,0.006432919,1.57079,0.0,0.70702714,0.010761302,0.015309201,0.70693886,0.0,0.0,-0.4084374,0,0
348060265,0.037815396,0.011147572,1.57079,0.0,0.70704615,0.009428273,0.017309263,0.7068926,0.0,0.0,-0.41106385,0,0
348090103,0.036800236,0.0026963984,1.57079,0.0,0.7070062,0.012056986,0.013963223,0.70696664,0.0,0.0,-0.40709817,0,0
348145724,0.5235939,0.002368703,1.57079,0.0,0.6832316,0.18220256,0.18381926,0.68279374,0.0,0.0,-0.46691298,0,0
348184948,0.52358013,0.0046335394,1.57079,0.0,0.6834387,0.18142402,0.18458766,0.6825864,0.0,0.0,-0.44248244,0,0
348240586,0.5235732,0.0054385834,1.57079,0.0,0.68351233,0.18114655,0.18486002,0.6825127,0.0,0.0,-0.41394088,0,0
348293849,0.52353734,0.008425809,1.57079,0.0,0.6837853,0.18011318,0.18586701,0.6822392,0.0,0.0,-0.41835833,0,0
348341994,0.5235661,0.0061457823,1.57079,0.0,0.68357694,0.18090245,0.18509895,0.68244797,0.0,0.0,-0.4384463,0,0
348382482,0.5235362,0.008502105,1.57079,0.0,0.6837923,0.18008673,0.18589266,0.68223226,0.0,0.0,-0.4493034,0,0
348437064,0.5234656,0.012401616,1.57079,0.0,0.68414843,0.178729,0.18719842,0.6818751,0.0,0.0,-0.4596283,0,0
348481296,0.5234183,0.014432864,1.57079,0.0,0.6843338,0.17801791,0.18787472,0.681689,0.0,0.0,-0.46299985,0,0
348540846,0.52340084,0.015117048,1.57079,0.0,0.6843962,0.17777781,0.18810199,0.6816264,0.0,0.0,-0.4502142,0,0
348596138,0.52332,0.017937697,1.57079,0.0,0.6846534,0.17678477,0.1890356,0.68136805,0.0,0.0,-0.46384552,0,0
348646648,0.52336997,0.016252438,1.57079,0.0,0.6844998,0.1773787,0.1884784,0.6815224,0.0,0.0,-0.46562767,0,0
348673780,0.52323747,0.020419136,1.57079,0.0,0.6848795,0.1759069,0.18985273,0.6811408,0.0,0.0,-0.4563989,0,0
348742040,0.5230463,0.025246961,1.57079,0.0,0.6853187,0.17418766,0.19143134,0.6806989,0.0,0.0,-0.46418417,0,0
348766540,0.523059,0.024958411,1.57079,0.0,0.68529254,0.17429084,0.19133738,0.6807252,0.0,0.0,-0.46529582,0,0
348859319,0.4463249,0.029474568,1.57079,0.0,0.6918057,0.14631464,0.16663776,0.687189,0.0,0.0,-0.45816353,0,0
348896118,0.39079952,0.018384432,1.57079,0.0,0.6948855,0.1309095,0.14366083,0.6923572,0.0,0.0,-0.45478687,0,0
348975508,0.24524666,0.018516893,1.57079,0.0,0.70257014,0.079989776,0.092984155,0.7009642,0.0,0.0,-0.45024312,0,0
349021025,0.16815436,0.020451318,1.57079,0.0,0.70518154,0.052173667,0.06658322,0.70396274,0.0,0.0,-0.44573632,0,0
349076359,0.07488256,-0.00044906096,1.57079,0.0,0.70660746,0.026627539,0.026310062,0.70661485,0.0,0.0,-0.44227752,0,0
349109835,0.024795348,0.015450556,1.57079,0.0,0.7071013,0.0033039157,0.014228104,0.7069614,0.0,0.0,-0.4441129,0,0
349149735,-0.026577627,0.007926683,1.57079,0.0,0.7070038,-0.012198531,-0.006593969,0.70707387,0.0,0.0,-0.43446514,0,0
349198641,-0.0890225,-0.0015519887,1.57079,0.0,0.7064328,-0.03091574,-0.032011878,0.7063796,0.0,0.0,-0.4312181,0,0
349254413,-0.14580335,0.00766384,1.57079,0.0,0.7050283,-0.054205764,-0.048800696,0.7054185,0.0,0.0,-0.42552492,0,0
349293658,-0.17304343,0.0030214859,1.57079,0.0,0.7043708,-0.062168166,-0.060039267,0.70455104,0.0,0.0,-0.42535046,0,0
349323492,-0.19265282,0.0021107895,1.57079,0.0,0.70375884,-0.06875078,-0.067264706,0.703898,0.0,0.0,-0.420974,0,0
