timestamp,armed_time,takeoff_time,nav_state_timestamp,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,avoidance_system_required,avoidance_system_valid,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
309884775,274243408,288805184,305355363,0,2,1,8,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
310388274,274243408,288805184,305355363,0,2,1,8,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
310889476,274243408,288805184,305355363,0,2,1,8,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
311392326,274243408,288805184,305355363,0,2,1,8,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
311895666,274243408,288805184,305355363,0,2,1,8,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
312402543,274243408,288805184,305355363,0,2,1,8,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
312904163,274243408,288805184,305355363,0,2,1,8,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
313406720,274243408,288805184,305355363,0,2,1,8,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
313913410,274243408,288805184,305355363,0,2,1,8,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
314417487,274243408,288805184,305355363,0,2,1,8,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
314919525,274243408,288805184,305355363,0,2,1,8,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
315422673,274243408,288805184,305355363,0,2,1,8,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
315925487,274243408,288805184,305355363,0,2,1,8,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
316429194,274243408,288805184,305355363,0,2,1,8,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
316930944,274243408,288805184,305355363,0,2,1,8,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
317431775,274243408,288805184,305355363,0,2,1,8,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
317936771,274243408,288805184,305355363,0,2,1,8,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
318441063,274243408,288805184,305355363,0,2,1,8,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
318945670,274243408,288805184,305355363,0,2,1,8,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
319449689,274243408,288805184,305355363,0,2,1,8,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
319953428,274243408,288805184,305355363,0,2,1,8,14,14,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
