timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
277069534,277069173,0.9631768,0.036056407,-0.04775166,0.26212636,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
277122782,277122275,0.96317947,0.035843648,-0.047589783,0.26217514,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
277175710,277171657,0.96321464,0.035862178,-0.04761491,0.26203874,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
277234390,277233384,0.9632335,0.035723377,-0.047617596,0.261988,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
277288057,277287709,0.9632276,0.035909064,-0.047625367,0.26198262,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
277332471,277327224,0.9632292,0.03592905,-0.0476319,0.2619729,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
277367121,277366734,0.9632426,0.03587295,-0.047577687,0.2619414,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
277432465,277428466,0.9632593,0.035865296,-0.047586672,0.26187935,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
277470802,277470449,0.9632676,0.035774034,-0.047601383,0.26185882,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
277535006,277530960,0.96329486,0.035721093,-0.047657255,0.26175538,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
277581929,277581575,0.9632912,0.035685454,-0.047490083,0.26180375,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
277632553,277632173,0.9632952,0.03580364,-0.047665183,0.26174143,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
277675811,277675391,0.9632982,0.035971005,-0.047460295,0.26174495,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
277720306,277719843,0.9633073,0.035701606,-0.047473386,0.2617457,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
277768296,277764295,0.9633284,0.03595115,-0.047492053,0.26163045,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
277809090,277808746,0.96334374,0.035791203,-0.047574513,0.26158074,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
277859706,277859338,0.96335477,0.035675798,-0.047338508,0.2615988,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
277930233,277929743,0.9633696,0.035758693,-0.047582287,0.2614885,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
277977056,277976675,0.96337336,0.03567995,-0.047363203,0.2615254,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
278036249,278035909,0.963379,0.03584226,-0.047361262,0.2614827,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
278074509,278074167,0.9633796,0.036020737,-0.04744529,0.2614407,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
278109122,278108755,0.9633911,0.035759553,-0.04755041,0.26141497,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
278178253,278174200,0.9634231,0.035701096,-0.04744457,0.2613242,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
278236264,278230992,0.9634142,0.0359331,-0.047493055,0.26131648,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
278265888,278265562,0.96340233,0.035934858,-0.04745047,0.261368,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
